2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:203 | Fetched 100 news articles
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for AAPL
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for MSFT
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for GOOGL
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for AMZN
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for NVDA
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for TSLA
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for JPM
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for GS
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for XOM
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for BA
2026-06-16 16:45:27 | INFO     | src.ingestion.market_data:fetch_all:203 | Fetched 100 news articles
2026-06-16 16:45:28 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for AAPL
2026-06-16 16:45:28 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for MSFT
2026-06-16 16:45:28 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for GOOGL
2026-06-16 16:45:28 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for AMZN
2026-06-16 16:45:28 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for NVDA
2026-06-16 16:45:28 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for TSLA
2026-06-16 16:45:28 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for JPM
2026-06-16 16:45:28 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for GS
2026-06-16 16:45:28 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for XOM
2026-06-16 16:45:28 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for BA
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:129 | Fetched fundamentals for 10 tickers
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:run_all:225 | Data pipeline complete.
2026-06-16 16:45:29 | INFO     | src.graph.knowledge_graph:update_correlations:158 | Added 1 correlation edges (threshold=0.6)
2026-06-16 16:45:29 | INFO     | src.api.main:_refresh:446 | Background data refresh complete
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:129 | Fetched fundamentals for 10 tickers
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:203 | Fetched 100 news articles
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:129 | Fetched fundamentals for 10 tickers
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for AAPL
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for MSFT
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for GOOGL
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for AMZN
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for NVDA
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for TSLA
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for JPM
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for GS
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for XOM
2026-06-16 16:45:29 | INFO     | src.ingestion.market_data:fetch_all:79 | Fetched 122 rows for BA
2026-06-16 16:45:30 | INFO     | src.ingestion.market_data:run_all:225 | Data pipeline complete.
2026-06-16 16:45:30 | INFO     | src.graph.knowledge_graph:update_correlations:158 | Added 1 correlation edges (threshold=0.6)
2026-06-16 16:45:30 | INFO     | src.api.main:_refresh:446 | Background data refresh complete
2026-06-16 16:45:30 | INFO     | src.ingestion.market_data:run_all:225 | Data pipeline complete.
